,first,second,third
672,"['Tc', '3d', 'Qd', '6h', 'Qh']",[],[]
673,[],[],[]
674,[],[],[]
675,[],[],[]
676,"['3s', '5c', 'Ks', '5s', 'Qs']",[],[]
677,"['9d', '3d', '5d', '4c', '4h']",[],[]
678,[],[],[]
679,"['3h', '3c', '6c']",[],[]
680,[],[],[]
681,[],[],[]
682,"['As', '7s', '6d']",[],[]
683,"['7c', 'Ad', '3c', '7d', 'Ac']",[],[]
684,[],[],[]
685,"['Ah', '6d', '6c', '3s', 'Qh']",[],[]
686,[],[],[]
687,[],[],[]
688,"['Ts', '2s', '8d', '2d', '3c']",[],[]
689,[],[],[]
690,"['Ks', 'As', 'Ad', '3c', '7s']",[],[]
691,"['7s', '3d', 'Td', 'Ks', '8h']",[],[]
692,"['9s', 'Ah', 'Kc', '3s', '4d']",[],[]
693,[],[],[]
694,[],[],[]
695,[],[],[]
696,"['Ah', '4d', 'Ac', '9h']",[],[]
697,"['4h', '8h', '6d', '3s', '5d']",[],[]
698,"['Td', '8h', 'Jc', '4s', '4c']",[],[]
699,[],[],[]
700,"['As', 'Kh', 'Qc']",[],[]
701,[],[],[]
702,"['Ts', '6s', '9h']",[],[]
703,"['8s', 'Jc', '4c', '7s']",[],[]
704,"['5s', 'As', '5h', 'Kh', '2c']",[],[]
705,[],[],[]
706,"['Qh', '9c', '4d', '6h', 'Kc']",[],[]
707,"['4d', '7d', '5s', '6d']",[],[]
708,[],[],[]
709,"['7d', 'As', 'Td']",[],[]
710,[],[],[]
711,"['Jc', '8s', '7d', 'Th']",[],[]
712,"['4s', 'Qs', '4c', 'Qd', '9h']",[],[]
713,"['Th', '8h', '6d', '3h', '4s']",[],[]
714,[],[],[]
715,"['Qd', 'Tc', 'Qc']",[],[]
716,"['7s', '9c', '2h', '6c', 'Jh']",[],[]
717,"['8c', 'Js', '7s', '2h', 'Kd']",[],[]
718,"['5h', '3c', '4c', '9h']",[],[]
719,"['Qs', '5c', '3h', '5d', '9d']",[],[]
720,[],[],[]
721,"['5h', 'Js', '2d', 'Ac']",[],[]
722,"['Ah', '9h', 'Qh', '7s', 'Qc']",[],[]
723,[],[],[]
724,"['Kd', '7d', '9d']",[],[]
725,[],[],[]
726,"['9s', '2s', 'Ac', '6d']",[],[]
727,[],[],[]
728,[],[],[]
729,"['Kh', '5s', '5c', 'Jd', 'Qd']",[],[]
730,"['Ks', 'Ah', 'Qc']",[],[]
731,[],[],[]
732,"['Td', '6s', 'Qd']",[],[]
733,"['6d', 'Jh', '9c']",[],[]
734,"['8s', '9s', 'Qd', 'Jd', 'Th']",[],[]
735,"['Ah', 'Qd', 'Qc', '3s', 'Th']",[],[]
736,"['7h', '9c', 'Jd', '2s', '8s']",[],[]
737,"['8c', '2c', 'Ac', 'Jc', 'Th']",[],[]
738,"['7s', '4c', '5d']",[],[]
739,"['Jh', '3c', '7d', 'Ks', '3s']",[],[]
740,[],[],[]
741,[],[],[]
742,[],[],[]
743,"['7s', '9d', 'Tc', 'Jd', '4d']",[],[]
744,"['Qc', 'Ad', '7s', 'Kc']",[],[]
745,[],[],[]
746,[],[],[]
747,"['9s', 'Qc', '5d', '7c', 'Ah']",[],[]
748,[],[],[]
749,[],[],[]
750,[],[],[]
751,[],[],[]
752,[],[],[]
753,"['8s', 'Qd', 'Jd', '7c', '3h']",[],[]
754,[],[],[]
755,[],[],[]
756,"['4s', 'Ks', '8h']",[],[]
757,"['8h', '9d', 'Qd', 'Tc', '6h']",[],[]
758,[],[],[]
759,"['4d', '6d', '9c', 'Ah', '6h']",[],[]
760,[],[],[]
761,"['2h', 'Qh', '9d']",[],[]
762,"['Qc', 'Jd', '2c']",[],[]
763,"['7h', 'Kd', 'Qd']",[],[]
764,"['4h', 'Jh', '4s', 'Td']",[],[]
765,[],[],[]
766,[],[],[]
767,[],[],[]
768,"['8c', '5s', '9c']",[],[]
769,"['Kd', '6s', '8d', 'Qs', 'Qc']",[],[]
770,[],[],[]
771,"['Jd', '7h', '4c', '8c']",[],[]
772,[],[],[]
773,[],[],[]
774,"['2s', '4d', '2h', 'Qh']",[],[]
775,"['As', '2d', '7c']",[],[]
776,"['5d', '9h', '6d', '3h']",[],[]
777,"['3h', '7c', 'Qh', '4d', 'Tc']",[],[]
778,"['3s', 'Td', '8c']",[],[]
779,"['7c', 'Qs', '4h', '3h', '6s']",[],[]
780,[],[],[]
781,"['Ad', 'Tc', '4h', 'Kd']",[],[]
782,"['Qh', '2d', '8c', '2s']",[],[]
783,[],[],[]
784,"['3c', '2c', '6h', 'Qs', '4h']",[],[]
785,"['Th', '9s', '6d', '2d', '5d']",[],[]
786,[],[],[]
787,"['Ts', '8s', 'Jc', 'Qs', '8d']",[],[]
788,[],[],[]
789,[],[],[]
790,[],[],[]
791,"['3s', 'Ac', '3c']",[],[]
792,"['2s', '3c', '8c', '4h', 'Qc']",[],[]
793,"['6h', '9c', 'Td']",[],[]
794,"['Js', '8c', '4d', '5s', '8s']",[],[]
795,"['Kc', '4c', '2h', '5c', 'Ks']",[],[]
796,[],[],[]
797,"['9s', '2d', 'Jd', 'Td', 'As']",[],[]
798,[],[],[]
799,"['Th', 'Jc', '9h', '2s', '5s']",[],[]
800,"['6d', '2s', '3c', '6c']",[],[]
801,[],[],[]
802,"['Kh', 'Js', '9s', '7d']",[],[]
803,[],[],[]
804,"['Qc', 'Kd', '3h']",[],[]
805,"['Js', '3h', '9c', 'Td', 'Jh']",[],[]
806,"['Jd', '9h', '8c', '7d', '4s']",[],[]
807,"['Kh', 'Tc', 'Ad', 'Ts', '4s']",[],[]
808,[],[],[]
809,[],[],[]
810,"['Qc', 'Kd', 'Ah', 'Qs', '7s']",[],[]
811,[],[],[]
812,[],[],[]
813,"['Kh', '6d', '3h', '3c', 'Jd']",[],[]
814,[],[],[]
815,[],[],[]
816,"['4s', 'Qh', '7s']",[],[]
817,"['Qc', 'Qs', '9h']",[],[]
818,[],[],[]
819,[],[],[]
820,[],[],[]
821,"['Kc', 'As', 'Kd', 'Th']",[],[]
822,"['9s', '5s', 'Jh', '7d', '3c']",[],[]
823,"['5d', 'Ad', '6c', '8d']",[],[]
824,"['3s', 'Ad', 'Jh', 'Td', '3c']",[],[]
825,"['9s', 'Ks', 'Qd']",[],[]
826,[],[],[]
827,"['9s', '5h', '7s', 'Qh', '2h']",[],[]
828,"['Js', '8s', '3c']",[],[]
829,"['Ah', '9d', '5c', 'Qd']",[],[]
830,"['3d', '9d', '6c']",[],[]
831,[],[],[]
832,"['4h', '2c', 'Th', 'Qc', 'Kh']",[],[]
833,[],[],[]
834,[],[],[]
835,"['2h', '6s', 'Th']",[],[]
836,"['Kd', 'Jd', '9c', '8h', 'Th']",[],[]
837,"['7h', '3c', 'Qs', '6c']",[],[]
838,"['Ac', 'Tc', '6d', 'Kd']",[],[]
839,"['As', '8d', '2c']",[],[]
840,[],[],[]
841,[],[],[]
842,"['Ac', '5s', '7s', '7d', 'Jd']",[],[]
843,[],[],[]
844,"['7h', 'Ad', '2s', 'Qd']",[],[]
845,[],[],[]
846,"['3s', '9h', 'Tc', '7c']",[],[]
847,[],[],[]
848,"['4d', 'Ts', 'Qc', 'Jc', '7h']",[],[]
849,"['Tc', 'Qs', '4c', '9h', '6s']",[],[]
850,[],[],[]
851,"['8h', 'Jh', 'Qd', '9h', 'Js']",[],[]
852,[],[],[]
853,"['Jc', 'Kd', '4c', 'Ad', 'Jd']",[],[]
854,"['Ad', '9h', 'Jh', 'Ts', '4d']",[],[]
855,[],[],[]
856,[],[],[]
857,[],[],[]
858,"['Qc', '8c', '3c', 'Kc', '5h']",[],[]
859,[],[],[]
860,[],[],[]
861,[],[],[]
862,"['Jd', '2c', 'Ks', '8d']",[],[]
863,"['3d', '6d', '5d']",[],[]
864,"['3h', 'Ad', 'Jd']",[],[]
865,"['9s', '5h', 'Kc']",[],[]
866,[],[],[]
867,"['3s', '7c', 'Kh']",[],[]
868,"['6h', '8s', '3c', 'As', '2h']",[],[]
869,"['Ts', 'Ac', 'Qd', '7s', 'Qs']",[],[]
870,"['6d', '6h', 'Qc']",[],[]
871,"['Ks', '2d', 'Jh']",[],[]
872,"['5c', '7d', '5h', 'Ad', '8c']",[],[]
873,"['6d', '5c', 'As']",[],[]
874,"['2s', 'Ks', 'Kd', '9c']",[],[]
875,"['8d', 'Kd', 'Jc', '4c', '3s']",[],[]
876,"['7s', '4c', '7h']",[],[]
877,[],[],[]
878,"['Kh', '2d', '2s', '7c']",[],[]
879,[],[],[]
880,[],[],[]
881,"['Ts', '3h', '2s', '8h', 'Jd']",[],[]
882,"['Qd', 'Qc', '9c', 'As']",[],[]
883,"['3c', '2d', '2c', '3d', '3s']","['Kc', '9s']",[]
884,[],[],[]
885,"['9c', '2s', '7d', '8c', 'Js']",[],[]
886,"['4h', '9s', '9h', '3h']",[],[]
887,"['2d', '4c', '6h', 'Jh', '6s']",[],[]
888,"['Ad', '4d', '5h', '5s', '7s']",[],[]
889,[],[],[]
890,"['8s', '4h', '6s', '3d']",[],[]
891,[],[],[]
892,"['5c', '6d', 'Ah', 'Qc', '5h']",[],[]
893,[],[],[]
894,"['3h', '9d', '7h', 'Jc', 'Ah']",[],[]
895,"['Jc', '5c', '6h', 'Ah', '4d']",[],[]
896,[],[],[]
897,"['4d', '9c', '6c']",[],[]
898,"['9h', 'Jc', '4h', 'Ks', 'Js']",[],[]
899,[],[],[]
900,"['Kc', '6d', '3c', '4c', 'Ks']",[],[]
901,"['4h', '5h', '3d', 'Qh']",[],[]
902,"['6s', '8d', '7d']",[],[]
903,[],[],[]
904,"['Js', 'Th', 'Qd', '3h', '5d']",[],[]
905,[],[],[]
906,"['Kd', '6s', 'Td', '6d', '3c']",[],[]
907,"['2h', 'Qh', '2c', '6c', '3s']",[],[]
908,"['Js', 'Kc', '6s', '8s', 'Tc']",[],[]
909,[],[],[]
910,[],[],[]
911,"['4d', 'Jd', 'As']",[],[]
912,"['8s', 'Ac', 'Ah']",[],[]
913,[],[],[]
914,[],[],[]
915,"['Td', '5d', '3s', '3c', 'Tc']",[],[]
916,[],[],[]
917,"['Ks', '5c', '5s', '4d', '3c']",[],[]
918,[],[],[]
919,[],[],[]
920,[],[],[]
921,"['Jd', '9d', 'As', '5c']",[],[]
922,[],[],[]
923,[],[],[]
924,[],[],[]
925,"['7h', '6s', 'Kc']",[],[]
926,"['4d', 'Ac', '3h', '6d']",[],[]
927,[],[],[]
928,"['Tc', '2d', 'Jh', '2h']",[],[]
929,[],[],[]
930,"['9d', 'Kh', 'Qs', '7c']",[],[]
931,"['5h', '2s', 'Qs', '3d', '7c']",[],[]
932,"['8s', '6c', 'Ad', '2s', 'Jd']",['4d'],[]
933,"['7c', 'Kc', '2c', '8c', '7s']",[],[]
934,[],[],[]
935,[],[],[]
936,[],[],[]
937,"['Ah', '9c', '5h']",[],[]
938,"['6s', 'Kd', '9c', '3s', 'Js']",[],[]
939,"['9d', 'Ks', '3c']",[],[]
940,"['4s', '9d', 'Ks', '9s']",[],[]
941,"['Ad', 'Tc', '8h', '2h', 'Kd']",[],[]
942,"['9h', '5d', 'Th', 'Ts']",[],[]
943,"['7d', 'As', '2c', '3h', 'Th']",[],[]
944,"['Ac', '6d', '2c']",[],[]
945,[],[],[]
946,[],[],[]
947,"['5s', '2h', '7d']",[],[]
948,[],[],[]
949,[],[],[]
950,[],[],[]
951,"['5c', '7c', '7h', '2s', 'Js']",[],[]
952,"['3c', 'Th', '5s']",[],[]
953,[],[],[]
954,"['5h', 'Tc', 'Kh']",[],[]
955,"['Th', '8s', '5c']",[],[]
956,"['6h', 'Qd', '3c', '3s', 'Ah']",[],[]
957,"['3c', '9h', '5c']",[],[]
958,[],[],[]
959,"['Tc', '4s', 'Kh']",[],[]
960,[],[],[]
961,"['9s', '4c', '6h', '8d', '2s']",[],[]
962,"['Qh', '3s', '4d', '9h']",[],[]
963,"['7s', 'Jc', '3c', '6h', '5c']",[],[]
964,[],[],[]
965,"['Jc', '3d', 'Th', '6s']",[],[]
966,"['6s', 'Ac', '5c']",[],[]
967,[],[],[]
968,"['2s', '4c', '4d', '2d', 'Qc']",[],[]
969,"['Kh', '4h', '7d', '5d']",[],[]
970,"['6d', '6h', 'Th', 'Jh', '5h']",[],[]
971,"['Ad', '8d', 'Tc', '9s', '9d']",[],[]
972,[],[],[]
973,"['9h', '5h', '2c', '2s', '8d']",[],[]
974,[],[],[]
975,[],[],[]
976,"['4s', 'Qs', '6s', '2s']",[],[]
977,"['Jc', 'Ah', '6d', '5c', 'Qh']",[],[]
978,[],[],[]
979,"['Jh', '2c', '6s', '2d', 'Qc']",[],[]
980,"['Ad', '3h', '4c']",[],[]
981,[],[],[]
982,"['3d', '8d', 'As']",[],[]
983,"['2s', '2d', 'Qs']",[],[]
984,"['8c', '2s', 'Kc', '8h']",[],[]
985,[],[],[]
986,"['9h', '7d', '5d', '3h', 'Ad']",[],[]
987,[],[],[]
988,[],[],[]
989,"['Jd', '9s', '4s', '4d']",[],[]
990,[],[],[]
991,"['Tc', 'Ad', '8c', '5h']",[],[]
992,"['8s', '9s', 'Kc', '8d', 'Qc']",[],[]
993,[],[],[]
994,"['5d', '9s', 'Qs', '2h']",[],[]
995,"['5c', '7s', '4c', 'Ac', '7c']",[],[]
996,"['2c', '5s', '3h']",[],[]
997,[],[],[]
998,"['Ac', 'Jh', '9d']",[],[]
999,[],[],[]
1000,[],[],[]
1001,"['Kc', '8h', '8c', 'Qh', '5h']",[],[]
1002,"['Th', '6s', 'Ks', 'Jd', 'Ad']",[],[]
1003,"['4c', 'Qh', '7c', 'Qd', '9s']",[],[]
1004,"['Jd', 'Kh', '3d', '3h', '7c']",[],[]
1005,[],[],[]
1006,[],[],[]
1007,"['Jh', '6s', '2d', 'Td', '2h']",[],[]
1008,"['3s', '2d', 'Td', '2s', 'Kd']",[],[]
1009,[],[],[]
1010,[],[],[]
1011,"['Qh', 'Ts', '5c', '3d', 'Ks']",[],[]
1012,"['5s', '7d', '6d', 'Ac', 'Ts']",[],[]
1013,"['4d', 'Kc', '3c', 'Kd', 'Ts']",[],[]
1014,"['2d', 'Jh', '5s', '2h', '3h']",[],[]
1015,[],[],[]
1016,"['Ac', '9d', '8s', '2h', '7c']",[],[]
1017,[],[],[]
1018,[],[],[]
1019,[],[],[]
1020,"['5d', '4c', '2d', '8h', 'Kd']",[],[]
1021,"['7c', '9h', '8h', 'Tc', 'Th']",[],[]
1022,"['8c', '5s', '5c', '8d', '2s']",[],[]
1023,[],[],[]
1024,"['8c', '8d', '8h', '3s', '2s']",[],[]
1025,[],[],[]
1026,[],[],[]
1027,[],[],[]
1028,"['2s', 'Qd', 'Jh', '7d']",[],[]
1029,"['9h', 'Kh', '6c', 'Ks', '9c']",[],[]
1030,"['Ac', 'Jd', '8d']",[],[]
1031,[],[],[]
1032,"['5c', '6c', 'Ad']",[],[]
1033,"['7d', 'Js', '9s', 'Ks', 'Td']",[],[]
1034,[],[],[]
1035,[],[],[]
1036,[],[],[]
1037,"['8c', '9h', '5h', 'Jd']",[],[]
1038,"['3d', '2h', 'As', 'Kc', 'Jc']",[],[]
1039,"['6c', '8s', 'Jc', 'Jd', 'Js']",[],[]
1040,[],[],[]
1041,[],[],[]
1042,[],[],[]
1043,"['Kc', 'Th', '7d', '3h', '4h']",[],[]
1044,"['Ac', 'Tc', 'Th', '6d', '5h']",[],[]
1045,"['9h', '3h', '9c', '7h']",[],[]
1046,"['9h', '2h', '8s', '9s']",[],[]
1047,"['5d', '5s', 'Jc']",[],[]
1048,[],[],[]
1049,"['Ad', '8h', '9s', '7d', '9d']",[],[]
1050,"['6h', 'Ad', '8c']",[],[]
1051,"['2c', '8h', '6h', '2d', 'Js']",[],[]
1052,"['4s', 'Jd', '9s', '6h', '3d']",[],[]
1053,[],[],[]
1054,[],[],[]
1055,"['Jd', '7d', '2h', '9c', '6d']",[],[]
1056,"['7d', '2h', '2d', '9s', '6d']",[],[]
1057,[],[],[]
1058,"['3s', '5c', 'Th', '7h', '9h']",[],[]
1059,[],[],[]
1060,"['3h', '5h', '9d']",[],[]
1061,[],[],[]
1062,[],[],[]
1063,"['2d', '4h', '7d', '6s', '9d']",[],[]
1064,"['2c', 'Qc', '9h']",[],[]
1065,[],[],[]
1066,"['3c', '7c', 'Js']",[],[]
1067,[],[],[]
1068,[],[],[]
1069,"['4c', 'Ad', '2c']",[],[]
1070,"['Qh', 'Jd', '7c']",[],[]
1071,"['Ac', '5h', 'Ts']",[],[]
1072,"['8d', '9s', 'Ks']",[],[]
1073,"['Ks', '3h', '8s', 'Qc', '4d']",[],[]
1074,[],[],[]
1075,[],[],[]
1076,"['5d', '7h', '6c', '9s', '4c']",[],[]
1077,"['7c', '9c', 'Ts', '6c', 'Ks']",[],[]
1078,[],[],[]
1079,"['8c', '3d', 'Tc']",[],[]
1080,"['3d', 'Tc', 'Kh']",[],[]
1081,[],[],[]
1082,[],[],[]
1083,[],[],[]
1084,"['Th', '2c', 'Jd']",[],[]
1085,"['Kc', 'Ad', '4h', '6c']",[],[]
1086,[],[],[]
1087,"['9s', 'As', 'Ah', '2d']",[],[]
1088,[],[],[]
1089,"['Ks', '9d', 'Ts', '6c', 'Jh']",[],[]
1090,"['Ac', 'Jc', '9h']",[],[]
1091,[],[],[]
1092,[],[],[]
1093,[],[],[]
1094,"['5h', '6d', 'Jd', 'Jh', 'Ts']",[],[]
1095,"['Jh', '2c', '6h']",[],[]
1096,"['7c', '4c', 'Kd']",[],[]
1097,"['3c', '9d', 'Kh', '8h']",[],[]
1098,"['6h', '4c', 'Tc', '8s']",[],[]
1099,[],[],[]
1100,[],[],[]
1101,[],[],[]
1102,[],[],[]
1103,"['8h', '2h', 'Ac']",[],[]
1104,[],[],[]
1105,"['9d', 'Kh', '5d', '3s', 'Th']",[],[]
1106,"['Qd', '2h', 'Jc', '7c', 'Tc']",[],[]
1107,"['5s', 'Kc', '7h']",[],[]
1108,"['Qd', '7c', '3c', '6d', '4c']",[],[]
1109,"['9d', '6h', 'Ad', '4d', '5d']",[],[]
1110,[],[],[]
1111,[],[],[]
1112,[],[],[]
1113,"['Ks', '2s', '3c', '8d']",[],[]
1114,[],[],[]
1115,"['Qd', '6h', '5h']",[],[]
1116,[],[],[]
1117,[],[],[]
1118,"['8d', '6d', 'Kc']",[],[]
1119,"['4s', '7h', 'Js', '4c', 'Qs']","['2h', '6d']",[]
1120,"['4c', '6d', 'Qh', 'Qc', '2d']",[],[]
1121,[],[],[]
1122,"['8s', '3c', '6c', '2s', '9s']",[],[]
1123,[],[],[]
1124,[],[],[]
1125,"['9c', 'Tc', '2h', '4h', '8s']",[],[]
1126,"['4s', '9h', '3s', '7s', 'Qs']",[],[]
1127,[],[],[]
1128,"['6h', 'Ts', '7c', '3c', '8d']",[],[]
1129,"['3h', 'Ah', '8s', '5c', '6s']",[],[]
1130,"['9s', 'Jd', '5c', '9h', 'Jh']",[],[]
1131,[],[],[]
1132,"['3s', '7s', '5h', 'Qh']",[],[]
1133,[],[],[]
1134,"['Tc', '3s', '7d', 'Qc', '9s']",[],[]
1135,"['5s', 'Ad', 'Ts', '2s']",[],[]
1136,"['2c', 'Kd', '5d', 'Jh', '6h']",[],[]
1137,[],[],[]
1138,[],[],[]
1139,"['2s', 'Td', '8h', '3h', 'Th']",[],[]
1140,[],[],[]
1141,"['6h', '9s', '4c', '3h', '5c']",[],[]
1142,"['Ac', 'Ts', '7s', 'Jc']",[],[]
1143,[],[],[]
1144,[],[],[]
1145,"['6s', 'Qc', '9s', '8d']",[],[]
1146,"['5d', '8c', 'Ah', '4s', '8d']","['9h', 'Jh', '7c', '5h', '3d']",[]
1147,[],[],[]
1148,"['4d', '9c', '6c', 'Jd', 'Jc']",[],[]
1149,[],[],[]
1150,[],[],[]
1151,"['5h', 'Kc', '8d']",[],[]
1152,"['8d', '7h', '9h']",[],[]
1153,"['Qd', 'Qh', '9s', '4d', '6d']",[],[]
1154,"['5c', 'Qc', '4d', 'Ac', '8d']",[],[]
1155,"['Ad', '8d', '2d']",[],[]
1156,[],[],[]
1157,[],[],[]
1158,[],[],[]
1159,"['Th', '8d', 'Qs', '8s', '5h']",[],[]
1160,"['Js', '2h', '2c', 'Ts', '2s']",[],[]
1161,"['5d', '3s', 'Qh', '2d', 'Kh']",[],[]
1162,[],[],[]
1163,"['4c', '9s', '8c']",[],[]
1164,[],[],[]
1165,"['As', '9d', 'Jc', '7h', '4h']",[],[]
1166,[],[],[]
1167,"['4h', '8d', '2h', 'Kc']",[],[]
1168,"['7h', '8d', 'Qd', '2s']",[],[]
1169,[],[],[]
1170,"['9c', 'Ks', '8h', '5h', 'Qc']",[],[]
1171,[],[],[]
1172,[],[],[]
1173,"['3h', 'Kc', '4d', '3d']",[],[]
1174,[],[],[]
1175,[],[],[]
1176,[],[],[]
1177,"['6c', 'Ts', '9d', '8h']",[],[]
1178,"['Td', '5c', 'As']",[],[]
1179,"['Qc', '2s', '7h', 'Qh', '3d']",[],[]
1180,[],[],[]
1181,[],[],[]
1182,"['5h', 'Jh', '7d', 'Th', '6c']",[],[]
1183,[],[],[]
1184,"['9d', 'As', '7h', 'Kh']",[],[]
1185,"['5h', 'As', '8s', '3c', 'Qd']",[],[]
1186,[],[],[]
1187,"['4d', '4s', '2h', '8h', 'Kc']",[],[]
1188,"['2h', 'Jc', '3s', '6d', 'Td']",[],[]
1189,[],[],[]
1190,[],[],[]
1191,[],[],[]
1192,"['Th', '7d', 'Jh', '6h', '9s']",[],[]
1193,"['8d', '6s', 'Qc']",[],[]
1194,[],[],[]
1195,"['5s', 'Ad', 'Kh', '6h', '9c']",[],[]
1196,[],[],[]
1197,"['Kc', 'Ad', '2c', '4d']",[],[]
1198,"['6s', 'Ts', 'Td', '5s', '2d']",['Ad'],[]
1199,"['As', '6c', 'Ac']",[],[]
1200,"['4s', 'Kc', '4c']",[],[]
1201,"['Js', '3d', '5h', '9h', 'Qh']",[],[]
1202,[],[],[]
1203,[],[],[]
1204,[],[],[]
1205,[],[],[]
1206,[],[],[]
1207,[],[],[]
1208,[],[],[]
1209,"['7s', '6c', 'Ks', '5h', '6d']",[],[]
1210,"['8c', '2h', '8d', 'Ts', 'As']",[],[]
1211,"['Ah', 'Kd', 'Ad', '5d', '8d']",[],[]
1212,[],[],[]
1213,"['9c', '5d', '4h']",[],[]
1214,"['Kc', 'Ts', 'Qh', 'Td']",[],[]
1215,"['5s', 'Qd', 'Th', 'Tc', 'Ad']",[],[]
1216,"['Qh', '9c', '2h', '8h', '9d']",[],[]
1217,"['Ks', 'Kd', '2c', '3s', '7s']",[],[]
1218,"['7d', '5h', '3c']",[],[]
1219,"['7d', '2d', '6h', 'As', '5h']",[],[]
1220,"['9c', 'Jc', '3s', '2s', '4s']",[],[]
1221,[],[],[]
1222,[],[],[]
1223,[],[],[]
1224,"['3h', '5d', '4d']",[],[]
1225,[],[],[]
1226,"['Kh', '9s', 'Ac', '7s', '9d']",[],[]
1227,[],[],[]
1228,[],[],[]
1229,"['Qc', '8d', 'Th', '4s']",[],[]
1230,[],[],[]
1231,"['Ks', '5c', '3d', '6c', '2c']",[],[]
1232,[],[],[]
1233,"['6c', '2d', '7d', 'Js', '6d']",[],[]
1234,[],[],[]
1235,"['2c', '5c', '7c', '6d', '8h']",[],[]
1236,[],[],[]
1237,[],[],[]
1238,"['5c', '5s', '9c', '4h']",[],[]
1239,[],[],[]
1240,"['5s', '2c', '8h', '9s', 'Jd']",[],[]
1241,"['4d', '3s', '6c', '8s', '6d']",[],[]
1242,"['Tc', '9h', '7d', '7h', '4c']",[],[]
1243,[],[],[]
1244,[],[],[]
1245,"['2d', 'As', '4h', '3s', 'Js']",[],[]
1246,[],[],[]
1247,[],[],[]
1248,"['3h', 'Js', '6s', 'Qh', '8c']",[],[]
1249,"['Kd', 'Qh', '9s', 'Ts', 'As']",[],[]
1250,"['6s', 'Qs', '5c', 'Ac']",[],[]
1251,[],[],[]
1252,"['Jh', '5d', '7c', '2d']",[],[]
1253,[],[],[]
1254,"['3d', '6d', '4h', '9s', 'Ts']",[],[]
1255,"['Js', '4s', '6h']",[],[]
1256,"['5d', '7s', '9s']",[],[]
1257,[],[],[]
1258,"['2s', '8h', '6h', '3d', '5c']",[],[]
1259,"['5c', '3s', '4s', '2c', 'Tc']",[],[]
1260,"['Td', 'Js', '6c']",[],[]
1261,[],[],[]
1262,"['5s', '4h', '6h', 'Ad']",[],[]
1263,[],[],[]
1264,"['Kd', 'Qs', '9s', '8h', '2h']",[],[]
1265,"['2d', '5s', '4c']",[],[]
1266,"['Ad', '5h', '3h', 'Qs']",[],[]
1267,[],[],[]
1268,"['2h', 'Kc', '9s', '5d', 'Jd']",[],[]
1269,[],[],[]
1270,"['Tc', '5s', '4h', '8c', 'Ac']",[],[]
1271,"['7d', '5h', '8s', '2c']",[],[]
1272,"['9c', '4h', '8d', '2h', '2d']",[],[]
1273,"['8c', 'Tc', '5c', '9h', '9s']",[],[]
1274,"['2d', '8d', '8h', '7d', '6h']",[],[]
1275,[],[],[]
1276,[],[],[]
1277,[],[],[]
1278,[],[],[]
1279,[],[],[]
1280,"['6s', 'Jc', 'Qs', '7d', '7s']",[],[]
1281,[],[],[]
1282,[],[],[]
1283,"['Qc', '3d', '3s', '3c', '4s']",[],[]
1284,[],[],[]
1285,"['7s', '9d', '9s']",[],[]
1286,"['4c', '5h', 'Qc']",[],[]
1287,"['5d', 'Qd', '3c', '2d', '3s']",[],[]
1288,"['Jc', 'As', '7c', '4h', '8c']",[],[]
1289,"['5c', 'Kd', '4h', '9h', '2s']",[],[]
1290,"['6d', 'Ts', '9d', '7d', '6s']",[],[]
1291,"['Js', '8s', 'Td', '2c', 'Ad']",[],[]
1292,"['Ah', '9c', '5h', '8h']",[],[]
1293,"['3d', '2d', '4d', '3s', 'Qs']",[],[]
1294,"['Jc', '3s', 'Qd', '6s', '8c']",[],[]
1295,"['Ac', '3s', '3h', '5c']",[],[]
1296,"['2d', 'Qh', '9s', '8d', 'Qs']",[],[]
1297,[],[],[]
1298,"['Kc', '7c', '2h']",[],[]
1299,"['5c', '2d', '8d', '9s', '5h']",[],[]
1300,"['5h', 'Qc', '2s', '6s', '5c']","['8d', '4s']",[]
1301,"['7d', '7h', 'Ks', 'Ac', '3d']",[],[]
1302,[],[],[]
1303,"['Tc', '4s', '2h']",[],[]
1304,"['4d', 'Qh', '5d', 'Kd']",[],[]
1305,[],[],[]
1306,"['2c', '8h', '4d']",[],[]
1307,"['2s', '6c', '7s', '9h', '7d']",[],[]
1308,[],[],[]
1309,"['9d', '5s', '3s', 'Jc', 'Js']",[],[]
1310,[],[],[]
1311,[],[],[]
1312,[],[],[]
1313,"['9h', '5s', 'Qd', '7c', '8s']",[],[]
1314,"['8h', '8s', '8c']",[],[]
1315,"['3d', '5h', '7s', '7c']",[],[]
1316,"['9c', '7d', '6c']",[],[]
1317,[],[],[]
1318,"['Td', '8c', 'Ac', '3s', 'Jd']",[],[]
1319,"['6s', '4d', '6c', '8d', 'Qh']",[],[]
1320,"['7d', '2s', '9h', '5d', 'Ad']",[],[]
1321,"['4s', 'Jh', '4c', 'Kc']",[],[]
1322,[],[],[]
1323,[],[],[]
1324,[],[],[]
1325,[],[],[]
1326,[],[],[]
1327,[],[],[]
1328,"['Jd', 'Th', 'Qd']",[],[]
1329,[],[],[]
1330,[],[],[]
1331,"['3d', '7c', '5d', '4s', '8h']",[],[]
1332,[],[],[]
1333,[],[],[]
1334,"['5h', 'Qh', '2d']",[],[]
1335,"['6s', '8h', '3s', '8c', 'Ad']",[],[]
1336,"['2s', '7h', '8h', '8d', 'Qc']",[],[]
1337,[],[],[]
1338,[],[],[]
