,first,second,third
164,[],[],[]
165,[],[],[]
166,"['Ah', '4s', '5s', '5d', '3s']",[],[]
167,[],[],[]
168,[],[],[]
169,"['Kc', '7h', '2h', '9s']",[],[]
170,[],[],[]
171,"['3d', '9h', '5s', '8c', '2d']",[],[]
172,"['Kh', '9s', '2c']",[],[]
173,[],[],[]
174,[],[],[]
175,[],[],[]
176,[],[],[]
177,[],[],[]
178,"['9d', 'Qc', 'Jc', '2h']",[],[]
179,[],[],[]
180,"['2d', 'Qh', 'Qc', '8c', '9d']",[],[]
181,[],[],[]
182,"['3s', '7s', '3h']",[],[]
183,[],[],[]
184,"['Ks', 'Jh', 'Ac', 'Js']",[],[]
185,"['4s', 'Js', '8h', 'As', 'Qd']",[],[]
186,"['4c', '2s', 'Kc', '7c']",[],[]
187,"['8c', '7c', '2d', 'Ac', '9h']",[],[]
188,"['3d', 'Qc', '6d', '4d', 'Jh']",[],[]
189,"['3d', '5d', 'Jc', 'As', '9d']",[],[]
190,[],[],[]
191,"['8c', '3c', 'Jd', '5s', '5h']","['2s', 'Ad']",[]
192,[],[],[]
193,[],[],[]
194,[],[],[]
195,"['6s', 'Th', '9h', '9d', 'Qh']",[],[]
196,"['9c', 'Ks', '4c', '4d', '6h']",[],[]
197,"['Tc', '5s', '9c', 'Kc', 'Qs']",[],[]
198,"['7s', '5d', '2d', '9s', '8c']",[],[]
199,"['3h', 'Qd', 'Ks']",[],[]
200,"['9c', 'Jc', '6s', '9s', '7h']",[],[]
201,[],[],[]
202,"['2d', 'Tc', '4h']",[],[]
203,[],[],[]
204,[],[],[]
205,[],[],[]
206,"['5s', '2h', '5c']",[],[]
207,[],[],[]
208,"['Th', 'Td', 'Kh', '7d', 'Ah']",[],[]
209,"['7h', 'Tc', 'Ts']",[],[]
210,"['7s', '4d', '3s', 'Jc', '7c']",[],[]
211,"['Ah', '4c', 'Ts', '7s', '8s']",[],[]
212,[],[],[]
213,"['4s', '4d', '3h', '3c', '3s']",[],[]
214,[],[],[]
215,"['8s', '5s', '8h', 'Qd', 'Qs']",[],[]
216,"['8d', '8h', 'Ad']",[],[]
217,"['Kc', '4s', '7h', 'Td', 'Jc']",[],[]
218,[],[],[]
219,[],[],[]
220,"['5h', '9h', 'Qs']",[],[]
221,"['3c', 'As', 'Qc']",[],[]
222,"['6h', 'Kd', 'As', 'Ad', '4s']",[],[]
223,"['Td', '3d', '2c', 'Jh', 'Kh']",[],[]
224,"['Ah', '8h', '2s', 'Jd', '7h']",[],[]
225,"['6s', '2s', '3s', '4d', 'Qd']",[],[]
226,[],[],[]
227,[],[],[]
228,[],[],[]
229,"['Ts', '6d', 'As', '6s']",[],[]
230,[],[],[]
231,[],[],[]
232,[],[],[]
233,"['Qc', '5h', '9d', '4h']",[],[]
234,"['4d', '8c', '2d']",[],[]
235,"['4h', '2h', '4c']",[],[]
236,[],[],[]
237,[],[],[]
238,"['8d', '9s', '6h', '5h', '5s']",[],[]
239,"['Ks', 'Kh', '6s']",[],[]
240,[],[],[]
241,"['2s', '5s', '7d', '6h']",[],[]
242,[],[],[]
243,[],[],[]
244,"['Kd', 'Qd', '2s']",[],[]
245,"['8h', 'Jh', '9c', 'Kc']",[],[]
246,[],[],[]
247,"['Qs', '8c', 'As']",[],[]
248,"['Kc', 'Ad', '8d', 'Qc', 'Jc']",[],[]
249,"['Jd', 'Ts', '9s', '6c']",[],[]
250,"['Jh', '9s', '5d', '4c']",[],[]
251,"['8c', '9d', 'Jc']",[],[]
252,"['8s', 'Kh', '6s', 'Ts']",[],[]
253,"['2d', '3d', 'Jd', '7s', '6h']",[],[]
254,"['8c', '3h', 'Qh', '4c', '6c']",[],[]
255,"['Ks', 'Kc', 'Jh', '3c']",[],[]
256,"['4d', 'Ks', '9c']",[],[]
257,"['Th', '6d', '8d', 'Td', 'Qd']",[],[]
258,"['Js', '5c', 'Kd', '5d']",[],[]
259,"['Ac', '2c', '3d', '3c', 'Ts']",[],[]
260,"['As', '7s', 'Qd', '3c']",[],[]
261,[],[],[]
262,[],[],[]
263,"['Th', 'Ad', '8d', 'Kh']",[],[]
264,[],[],[]
265,"['4d', '8s', 'Jd']",[],[]
266,[],[],[]
267,[],[],[]
268,"['Ks', 'Tc', 'Th', '2h', '8s']",[],[]
269,[],[],[]
270,"['7s', '4d', '6h']",[],[]
271,"['Kh', '6h', '8c', 'As', '9s']",[],[]
272,"['2d', 'Tc', '2c', '3h']",[],[]
273,[],[],[]
274,"['4c', 'Qd', 'Tc', '6h']",[],[]
275,"['Qd', '9s', '6s']",[],[]
276,"['7s', '3c', '4c', '7c']",[],[]
277,[],[],[]
