,id,order,value
4222,464,Hero,6.0
4226,468,Hero,14.0
4229,471,Hero,1.0
4231,473,Hero,2.0
4233,475,Hero,1.0
4234,476,Hero,6.0
4235,477,Hero,2.0
4242,484,Hero,17.0
4243,485,Hero,2.0
4247,489,Hero,2.0
4248,490,Hero,1.0
4252,494,Hero,2.0
4254,496,Hero,1.0
4260,502,Hero,2.0
4262,504,Hero,14.0
4265,507,Hero,2.0
4267,509,Hero,2.0
4268,510,Hero,1.0
4271,513,Hero,1.0
4272,514,Hero,7.0
4276,518,Hero,2.0
4278,520,Hero,2.0
4279,521,Hero,1.0
4283,525,Hero,1.0
4285,527,Hero,2.0
4289,531,Hero,2.0
4291,533,Hero,2.0
4292,534,Hero,1.0
4297,539,Hero,2.0
4298,540,Hero,1.0
4301,543,Hero,2.0
4302,544,Hero,1.0
4303,545,Hero,2.0
4305,547,Hero,4.0
4309,551,Hero,1.0
4310,552,Hero,1.0
4315,557,Hero,1.0
4316,558,Hero,2.0
4321,563,Hero,2.0
4322,564,Hero,1.0
4328,570,Hero,1.0
4329,571,Hero,2.0
4330,572,Hero,173.0
4333,575,Hero,2.0
4334,576,Hero,2.0
4337,579,Hero,2.0
4341,583,Hero,2.0
4342,584,Hero,1.0
4343,585,Hero,31.0
4348,590,Hero,11.0
4350,592,Hero,1.0
4353,595,Hero,21.0
4354,596,Hero,2.0
4355,597,Hero,7.0
4357,599,Hero,2.0
4358,600,Hero,13.0
4359,601,Hero,29.0
4362,604,Hero,2.0
4364,606,Hero,6.0
4367,609,Hero,1.0
4368,610,Hero,2.0
4371,613,Hero,2.0
4373,615,Hero,4.0
4374,616,Hero,1.0
4378,620,Hero,10.0
4379,621,Hero,1.0
4380,622,Hero,13.0
4385,627,Hero,2.0
4386,628,Hero,1.0
4390,632,Hero,1.0
4391,633,Hero,2.0
4392,634,Hero,8.0
4397,639,Hero,1.0
4398,640,Hero,7.0
4399,641,Hero,2.0
4403,645,Hero,29.0
4404,646,Hero,1.0
4405,647,Hero,16.0
4407,649,Hero,2.0
4409,651,Hero,1.0
4410,652,Hero,4.0
4416,658,Hero,1.0
4417,659,Hero,2.0
4418,660,Hero,22.0
4419,661,Hero,95.0
4420,662,Hero,1.0
4421,663,Hero,2.0
4423,665,Hero,6.0
4424,666,Hero,11.0
4425,667,Hero,2.0
4426,668,Hero,1.0
4428,670,Hero,2.0
4429,671,Hero,6.0
4430,672,Hero,11.0
4435,677,Hero,10.0
4436,678,Hero,2.0
4437,679,Hero,6.0
4440,682,Hero,7.0
4441,683,Hero,1.0
4442,684,Hero,1.0
4443,685,Hero,18.0
4446,688,Hero,15.0
4448,690,Hero,28.0
4449,691,Hero,2.0
4450,692,Hero,7.0
4454,696,Hero,1.0
4455,697,Hero,31.0
4458,700,Hero,34.0
4461,703,Hero,1.0
4462,704,Hero,2.0
4463,705,Hero,1.0
4464,706,Hero,91.0
4465,707,Hero,11.0
4469,711,Hero,1.0
4470,712,Hero,27.0
4473,715,Hero,4.0
4476,718,Hero,11.0
4477,719,Hero,1.0
4481,723,Hero,1.0
4482,724,Hero,2.0
4484,726,Hero,4.0
4487,729,Hero,54.0
4488,730,Hero,2.0
4489,731,Hero,1.0
4492,734,Hero,27.0
4493,735,Hero,6.0
4494,736,Hero,1.0
4496,738,Hero,2.0
4498,740,Hero,2.0
4500,742,Hero,1.0
4501,743,Hero,2.0
4505,747,Hero,4.0
4507,749,Hero,1.0
4508,750,Hero,2.0
4511,753,Hero,39.0
4513,755,Hero,1.0
4516,758,Hero,1.0
4518,760,Hero,1.0
4521,763,Hero,9.0
4524,766,Hero,1.0
4525,767,Hero,2.0
4529,771,Hero,7.0
4530,772,Hero,2.0
4534,776,Hero,17.0
4535,777,Hero,9.0
4536,778,Hero,2.0
4541,783,Hero,1.0
4542,784,Hero,13.0
4543,785,Hero,4.0
4545,787,Hero,19.0
4546,788,Hero,2.0
4547,789,Hero,2.0
4549,791,Hero,1.0
4553,795,Hero,17.0
4554,796,Hero,1.0
4555,797,Hero,27.0
4559,801,Hero,2.0
4560,802,Hero,6.0
4561,803,Hero,1.0
4562,804,Hero,13.0
4564,806,Hero,27.0
4566,808,Hero,1.0
4567,809,Hero,1.0
4568,810,Hero,180.0
4571,813,Hero,1.0
4572,814,Hero,1.0
4577,819,Hero,1.0
4578,820,Hero,2.0
4579,821,Hero,2.0
4584,826,Hero,1.0
4585,827,Hero,6.0
4590,832,Hero,1.0
4591,833,Hero,2.0
4596,838,Hero,4.0
4597,839,Hero,2.0
4598,840,Hero,1.0
4600,842,Hero,19.0
4602,844,Hero,1.0
4603,845,Hero,1.0
4606,848,Hero,8.0
4609,851,Hero,1.0
4610,852,Hero,2.0
4611,853,Hero,200.0
4612,854,Hero,64.0
4613,855,Hero,6.0
4616,858,Hero,73.0
4617,859,Hero,1.0
4621,863,Hero,6.0
4622,864,Hero,7.0
4623,865,Hero,2.0
4628,870,Hero,6.0
